State,Country,MethAcq,Drug, Potency , Nt Wt ,Seize Year,Seize Month, Post Price 
CT,,P,COCAINE, 81 , 12 ,2007,1, 500 
DC,,P,COCAINE, 85 , 10 ,2007,1, 500 
LA,,P,COCAINE, 62 , 23 ,2007,1, 500 
DC,,P,COCAINE, 79 , 11 ,2007,1, 500 
DC,,P,COCAINE, 67 , 11 ,2007,1, 500 
IL,,P,COCAINE, 93 , 7 ,2007,1, 500 
VA,,P,COCAINE, 66 , 6 ,2007,1, 500 
NJ,,P,COCAINE, 63 , 3 ,2007,1, 500 
CA,,P,COCAINE, 71 , 26 ,2007,1, 500 
FL,,P,COCAINE, 77 , 4 ,2007,1, 500 
MS,,P,COCAINE, 53 , 15 ,2007,1, 500 
IL,,P,COCAINE, 86 , 8 ,2007,1, 500 
LA,,P,COCAINE HYDROCHLORIDE, 66 , 9 ,2007,1, 500 
VA,,P,COCAINE HYDROCHLORIDE, 25 , 15 ,2007,1, 500 
,VI,P,COCAINE, 64 , 9 ,2007,1, 500 
,VI,P,COCAINE, 60 , 6 ,2007,1, 500 
,VI,P,COCAINE, 61 , 23 ,2007,1, 500 
,VI,P,COCAINE, 67 , 20 ,2007,1, 500 
FL,,P,COCAINE, 76 , 12 ,2007,1, 500 
FL,,P,COCAINE, 73 , 12 ,2007,1, 500 
VA,,P,COCAINE, 59 , 7 ,2007,1, 500 
OH,,P,COCAINE HYDROCHLORIDE, 74 , 13 ,2007,1, 500 
IN,,P,COCAINE, 80 , 12 ,2007,1, 500 
FL,,P,COCAINE HYDROCHLORIDE, 76 , 14 ,2007,1, 480 
FL,,P,COCAINE HYDROCHLORIDE, 37 , 13 ,2007,1, 460 
MA,,P,COCAINE, 91 , 14 ,2007,1, 450 
WV,,P,COCAINE HYDROCHLORIDE, 44 , 6 ,2007,1, 450 
IL,,P,COCAINE, 61 , 6 ,2007,1, 450 
MA,,P,COCAINE HYDROCHLORIDE, 53 , 13 ,2007,1, 450 
IN,,P,COCAINE HYDROCHLORIDE, 75 , 14 ,2007,1, 450 
DC,,P,COCAINE, 89 , 8 ,2007,1, 420 
IL,,P,COCAINE, 46 , 11 ,2007,1, 400 
IL,,P,COCAINE, 78 , 4 ,2007,1, 400 
CA,,P,COCAINE HYDROCHLORIDE, 88 , 13 ,2007,1, 400 
IL,,P,COCAINE, 67 , 12 ,2007,1, 400 
,PR,P,COCAINE, 73 , 6 ,2007,1, 400 
OH,,P,COCAINE, 71 , 12 ,2007,1, 400 
NJ,,P,COCAINE, 53 , 12 ,2007,1, 400 
PA,,P,COCAINE, 57 , 44 ,2007,1, 400 
